"","genus","species","id","sex","sl","eed_left","lens_dia_left","eed_right","lens_dia_right","mass.","date_measured","date_collected","cat_num","locality","genus_species","court","dichrom","ornament","ssi","ss"
"1","Alfaro","cultratus","alf.cul.2","f",33.67,2.69,1.14,2.8,1.23,NA,"12.2.2021","5.13.1976","84997","Nicagragua. Rio likes trib","Alfaro_cultratus","0","0","0","0","0"
"2","Alfaro","cultratus","alf.cul.3","f",26.87,2.17,0.93,2.24,0.96,NA,"12.2.2021","5.13.1977","84997","Nicagragua. Rio likes trib","Alfaro_cultratus","0","0","0","0","0"
"3","Alfaro","cultratus","alf.cul.4","f",31.58,2.17,1.06,2.29,1.09,NA,"12.2.2021","5.13.1978","84997","Nicagragua. Rio likes trib","Alfaro_cultratus","0","0","0","0","0"
"4","Alfaro","cultratus","alf.cul.5","f",31.58,2.49,1.01,2.23,0.9,NA,"12.2.2021","5.13.1979","84997","Nicagragua. Rio likes trib","Alfaro_cultratus","0","0","0","0","0"
"5","Alfaro","cultratus","alf.cul.1","m",37.17,2.64,1.25,2.8,1.57,NA,"12.2.21","5.13.1975","84997","Nicagragua. Rio likes trib","Alfaro_cultratus","0","0","0","0","0"
"6","Alfaro","hubberi","alf.hub.1","f",29.62,2.43,1.1,2.44,1,NA,"12.2.2021","3.17.2015","FMNH 130849","Guatemala, Rio lobo, gualan","Alfaro_hubberi",NA,"0","0",NA,NA
"7","Alfaro","hubberi","alf.hub.2","f",30.6,2.26,1.2,2.44,1.37,NA,"12.2.2021","3.17.2015","FMNH 130849","Guatemala, Rio lobo, gualan","Alfaro_hubberi",NA,"0","0",NA,NA
"8","Alfaro","hubberi","alf.hub.3","m",44.18,3.28,1.38,3.05,1.96,NA,"12.2.2021","3.17.2015","FMNH 130849","Guatemala, Rio lobo, gualan","Alfaro_hubberi",NA,"0","0",NA,NA
"9","Alfaro","hubberi","alf.hub.4","m",24.99,2.1,1.1,2.1,1.02,NA,"12.2.2021","3.17.2015","FMNH 130849","Guatemala, Rio lobo, gualan","Alfaro_hubberi",NA,"0","0",NA,NA
"10","Alfaro","hubberi","alf.hub.5","f",21.77,1.9,0.81,1.96,0.86,NA,"12.2.2021","3.17.2015","FMNH 130849","Guatemala, Rio lobo, gualan","Alfaro_hubberi",NA,"0","0",NA,NA
"11","Alfaro","hubberi","alf.hub.6","m",25.5,2.23,1.13,2.26,1.13,NA,"12.2.2021","3.17.2015","FMNH 130849","Guatemala, Rio lobo, gualan","Alfaro_hubberi",NA,"0","0",NA,NA
"12","Alfaro","hubberi","alf.hub.7","m",17.67,1.77,0.68,1.78,0.82,NA,"12.2.2021","3.17.2015","FMNH 130849","Guatemala, Rio lobo, gualan","Alfaro_hubberi",NA,"0","0",NA,NA
"13","Alfaro","hubberi","alf.hub.8","f",16.99,1.79,0.82,1.87,0.91,NA,"12.2.2021","3.17.2015","FMNH 130849","Guatemala, Rio lobo, gualan","Alfaro_hubberi",NA,"0","0",NA,NA
"14","Alfaro","hubberi","alf.hub.9","m",19.85,2.06,0.92,2.09,0.94,NA,"12.2.2021","3.17.2015","FMNH 130849","Guatemala, Rio lobo, gualan","Alfaro_hubberi",NA,"0","0",NA,NA
"15","Alfaro","hubberi","alf.hub.10","f",31.23,2.59,1.24,2.56,1.27,NA,"12.2.2021","3.17.2015","FMNH 130849","Guatemala, Rio lobo, gualan","Alfaro_hubberi",NA,"0","0",NA,NA
"16","Alfaro","hubberi","alf.hub.11","m",31.06,2.46,1.31,2.65,1.26,NA,"12.2.2021","3.17.2015","FMNH 130849","Guatemala, Rio lobo, gualan","Alfaro_hubberi",NA,"0","0",NA,NA
"17","Alfaro","hubberi","alf.hub.12","m",40.71,3.26,1.44,4.23,1.48,NA,"12.2.2021","3.17.2015","FMNH 130849","Guatemala, Rio lobo, gualan","Alfaro_hubberi",NA,"0","0",NA,NA
"18","Belonesox","belizanus","bel.bel.1","f",83.77,5.03,2.68,4.93,2.37,NA,"12.2.2021","3.23.1976","89279","Belize, ""The Dump""","Belonesox_belizanus","1","0","0","1","1"
"19","Belonesox","belizanus","bel.bel.2","f",76.46,4.91,2.04,5.02,2.04,NA,"12.2.2021","3.23.1976","89279","Belize, ""The Dump""","Belonesox_belizanus","1","0","0","1","1"
"20","Belonesox","belizanus","bel.bel.3","f",79.03,5.15,2.17,5.46,2.16,NA,"12.2.2021","3.23.1976","89279","Belize, ""The Dump""","Belonesox_belizanus","1","0","0","1","1"
"21","Belonesox","belizanus","bel.bel.4","f",83.57,4.94,2.42,4.94,2.21,NA,"12.2.2021","3.23.1976","89279","Belize, ""The Dump""","Belonesox_belizanus","1","0","0","1","1"
"22","Belonesox","belizanus","bel.bel.5","m",85.69,5.29,2.28,5.14,2.88,NA,"12.2.2021","3.23.1976","89279","Belize, ""The Dump""","Belonesox_belizanus","1","0","0","1","1"
"23","Belonesox","belizanus","bel.bel.6","m",91.63,5.44,2.25,5.52,2.34,NA,"12.2.2021","3.23.1976","89279","Belize, ""The Dump""","Belonesox_belizanus","1","0","0","1","1"
"24","Belonesox","belizanus","bel.bel.7","m",75.85,4.55,2.21,4.62,2.4,NA,"12.2.2021","3.23.1976","89279","Belize, ""The Dump""","Belonesox_belizanus","1","0","0","1","1"
"25","Belonesox","belizanus","bel.bel.8","m",94.92,6.05,2.44,5.88,2.6,NA,"12.2.2021","3.23.1976","89279","Belize, ""The Dump""","Belonesox_belizanus","1","0","0","1","1"
"26","Belonesox","belizanus","bel.bel.9","m",64.79,4.38,1.98,4.02,1.95,NA,"12.2.2021","3.23.1976","89279","Belize, ""The Dump""","Belonesox_belizanus","1","0","0","1","1"
"27","Belonesox","belizanus","bel.bel.10","m",67.51,4.46,1.93,4.39,1.86,NA,"12.2.2021","3.23.1976","89279","Belize, ""The Dump""","Belonesox_belizanus","1","0","0","1","1"
"28","Belonesox","belizanus","bel.bel.11","m",84.83,5.3,2.35,5.46,2.43,NA,"12.2.2021","","","","Belonesox_belizanus","1","0","0","1","1"
"29","Belonesox","belizanus","bel.bel.12","f",62.26,4.02,2.07,4.29,2.05,NA,"12.2.2021","","","","Belonesox_belizanus","1","0","0","1","1"
"30","Belonesox","belizanus","bel.bel.13","m",84.97,5.36,2.47,5.31,2.46,6.1,"12.7.2021","04.20.1976","82257","Belize, New River Lagoon","Belonesox_belizanus","1","0","0","1","1"
"31","Belonesox","belizanus","bel.bel.14","m",80,5.08,2.23,5.11,2.3,4.1,"12.7.2021","04.20.1976","82257","Belize, New River Lagoon","Belonesox_belizanus","1","0","0","1","1"
"32","Belonesox","belizanus","bel.bel.15","m",67.12,4.51,2.04,4.45,2.15,2.6,"12.7.2021","04.20.1976","82257","Belize, New River Lagoon","Belonesox_belizanus","1","0","0","1","1"
"33","Belonesox","belizanus","bel.bel.16","m",78.81,4.87,2.28,4.89,2.21,4.3,"12.7.2021","04.20.1976","82257","Belize, New River Lagoon","Belonesox_belizanus","1","0","0","1","1"
