tips_original,tips_sub,exclude
Adamas_formosus,,Adamas_formosus
Alfaro_cultratus,Alfaro_cultratus,
Alfaro_hubberi,Alfaro_hubberi,
Allodontichthys_hubbsi,,Allodontichthys_hubbsi
Allodontichthys_polylepis,,Allodontichthys_polylepis
Allodontichthys_tamazulae,,Allodontichthys_tamazulae
Allodontichthys_zonistius,,Allodontichthys_zonistius
Alloophorus_robustus,,Alloophorus_robustus
Allotoca_catarinae,,Allotoca_catarinae
Allotoca_diazi,,Allotoca_diazi
Allotoca_dugesii,,Allotoca_dugesii
Allotoca_goslinei,,Allotoca_goslinei
Allotoca_maculata,,Allotoca_maculata
Allotoca_meeki,,Allotoca_meeki
Allotoca_regalis,,Allotoca_regalis
Allotoca_sp_MNCN3676,,Allotoca_sp_MNCN3677
Allotoca_zacapuensis,,Allotoca_zacapuensis
Ameca_splendens,,Ameca_splendens
Anableps_anableps,,Anableps_anableps
Anableps_dovii,,Anableps_dovii
Aphredoderus_sayanus,,Aphredoderus_sayanus
Aphyoplatys_duboisi,,Aphyoplatys_duboisi
Aphyosemion_bitaeniatum,,Aphyosemion_bitaeniatum
Aplocheilichthys_normani,,Aplocheilichthys_normani
Aplocheilichthys_spilauchen,,Aplocheilichthys_spilauchen
Aplocheilus_lineatus,,Aplocheilus_lineatus
Argentina,,Argentina
Ataeniobius_toweri,,Ataeniobius_toweri
Atheriniformes,,Atheriniformes
Belonesox_belizanus,Belonesox_belizanus,
Beryciformes,,Beryciformes
Brachyrhaphis_cascajalensis,Brachyrhaphis_cascajalensis,
Brachyrhaphis_hartwegi,,Brachyrhaphis_hartwegi
Brachyrhaphis_holdridgei,,Brachyrhaphis_holdridgei
Brachyrhaphis_parismina,,Brachyrhaphis_parismina
Brachyrhaphis_rhabdophora,Brachyrhaphis_rhabdophora,
Brachyrhaphis_roseni,,Brachyrhaphis_roseni
Brachyrhaphis_terrabensis,Brachyrhaphis_terrabensis,
Carlhubbsia_kidderi,Carlhubbsia_kidderi,
Carlhubbsia_stuarti,Carlhubbsia_stuarti,
Chanos_chanos,,Chanos_chanos
Chapalichthys_encaustus,,Chapalichthys_encaustus
Chapalichthys_pardalis,,Chapalichthys_pardalis
Characiformes,,Characiformes
Characodon_audax,,Characodon_audax
Characodon_lateralis,,Characodon_lateralis
Chirocentrus_dorab,,Chirocentrus_dorab
Cichlasomatinae,,Cichlasomatinae
Cnesterodon_decemmaculatus,Cnesterodon_decemmaculatus,
Cnesterodon_hypselurus,Cnesterodon_hypselurus,
Cnesterodon_septentrionalis,,Cnesterodon_septentrionalis
Crenichthys_baileyi,,Crenichthys_baileyi
Crenichthys_nevadae,,Crenichthys_nevadae
Cubanichthys_cubensis,,Cubanichthys_cubensis
Cubanichthys_pengelleyi,,Cubanichthys_pengelleyi
Cyprinodon_variegatus,,Cyprinodon_variegatus
Dactylophallus_denticulatus,,Dactylophallus_denticulatus
Dactylophallus_ramsdeni,,Dactylophallus_ramsdeni
Dactylophallus_sp_DDEN10,,Dactylophallus_sp_DDEN11
Danio_rerio,,Danio_rerio
Dorosoma_cepedianum,,Dorosoma_cepedianum
Empetrichthys_latos,,Empetrichthys_latos
Epiplatys_annulatus,,Epiplatys_annulatus
Esox_lucius,,Esox_lucius
Floridichthys_carpio,,Floridichthys_carpio
Fluviphylax_pygmaeus,,Fluviphylax_pygmaeus
Fluviphylax_simplex,,Fluviphylax_simplex
Fundulopanchax,,Fundulopanchax
Fundulus_cingulatus,,Fundulus_cingulatus
Fundulus_lineolatus,,Fundulus_lineolatus
Gadus_morhua,,Gadus_morhua
Gambusia_affinis,Gambusia_affinis,
Gambusia_atrora,,Gambusia_atrora
Gambusia_caymanensis,Gambusia_caymanensis,
Gambusia_eurystoma,,Gambusia_eurystoma
Gambusia_geiseri,,Gambusia_geiseri
Gambusia_heterochir,Gambusia_heterochir,
Gambusia_hispaniolae,,Gambusia_hispaniolae
Gambusia_holbrooki,Gambusia_holbrooki,
Gambusia_hubbsi,,Gambusia_hubbsi
Gambusia_hurtadoi,Gambusia_hurtadoi,
Gambusia_luma,Gambusia_luma,
Gambusia_manni,,Gambusia_manni
Gambusia_marshi,,Gambusia_marshi
Gambusia_melapleura,,Gambusia_melapleura
Gambusia_nicaraguensis,Gambusia_nicaraguensis,
Gambusia_oligosticta,,Gambusia_oligosticta
Gambusia_panuco,,Gambusia_panuco
Gambusia_punctata,Gambusia_punctata,
Gambusia_puncticulata,Gambusia_puncticulata,
Gambusia_rhizophorae,Gambusia_rhizophorae,
Gambusia_sexradiata,Gambusia_sexradiata,
Gambusia_sp_LLSTC4571,,Gambusia_sp_LLSTC4572
Gambusia_vittata,Gambusia_vittata,
Gambusia_wrayi,,Gambusia_wrayi
Gambusia_yucatana,Gambusia_yucatana,
Gambusia_zarskei,,Gambusia_zarskei
Gasterosteus_aculeatus,,Gasterosteus_aculeatus
Girardinichthys_multiradiatus,,Girardinichthys_multiradiatus
Girardinichthys_viviparus,,Girardinichthys_viviparus
Girardinus_creolus,,Girardinus_creolus
Girardinus_metallicus,Girardinus_metallicus,
Girardinus_microdactylus,,Girardinus_microdactylus
Girardinus_rivasi,,Girardinus_rivasi
Girardinus_sp_GMIC19,,Girardinus_sp_GMIC20
Glaridichthys_falcatus,,Glaridichthys_falcatus
Glaridichthys_uninotatus,Glaridichthys_uninotatus,
Goodea_atripinnis,,Goodea_atripinnis
Goodea_gracilis,,Goodea_gracilis
Gymnotiformes,,Gymnotiformes
Heterandria_bimaculata,Heterandria_bimaculata,
Heterandria_formosa,,Heterandria_formosa
Heterandria_jonesi,,Heterandria_jonesi
Heterophallus_milleri,,Heterophallus_milleri
Heterophallus_rachovii,,Heterophallus_rachovii
Hubbsina_turneri,,Hubbsina_turneri
Ictalurus_punctatus,,Ictalurus_punctatus
Ilyodon_amecae,,Ilyodon_amecae
Ilyodon_furcidens,,Ilyodon_furcidens
Ilyodon_whitei,,Ilyodon_whitei
Ilyodon_xantusi,,Ilyodon_xantusi
Jenynsia_lineata,,Jenynsia_lineata
Jenynsia_multidentata,,Jenynsia_multidentata
Jordanella_floridae,,Jordanella_floridae
Lampriformes,,Lampriformes
Limia_caymanensis,Limia_caymanensis,
Limia_dominicensis,,Limia_dominicensis
